Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Audience,Mois,Nom Ad Set,Nom Campagne,Statut,Date de lancement,Personnes touchées,Impressions,Fréquence,Clics,Conversions (achats),Budget dépensé (€),Revenu estimé (€),ROAS,CPM (€),Coût par clic (€),Taux de clic (%),Coût par conversion (€),Taux de conversion (%),Hook rate (%),Panier moyen (€),Lien aperçu,ID Ad Set,ID Annonce
AG1_Image statique_Digestion_V1,AG1 Powder,—,Image statique,Digestion,Challenge,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Acquisition - AG1 Powder,En ligne,21/08/2025,187148,652630,3.49,3259,250,5704.02,27655.0,4.85,8.74,1.75,0.5,22.82,10.59,—,110.62,https://facebook.com/ads/preview/AD-16054,AD-42053,AD-16054
AG1_Image statique_Digestion_V2,AG1 Powder,—,Image statique,Digestion,Avant/Après,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Prospection - AG1 Powder,Arrêtée,04/08/2025,174458,752861,4.32,5129,389,14279.74,35188.94,2.46,18.97,2.78,0.68,36.71,10.9,—,90.46,https://facebook.com/ads/preview/AD-84942,AD-58442,AD-84942
AG1_Image statique_Digestion_V4,AG1 Powder,—,Image statique,Digestion,Test goût,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Test créa - AG1 Powder,En ligne,11/08/2025,391092,764054,1.95,2131,38,4505.46,4029.52,0.89,5.9,2.11,0.28,118.56,41.44,—,106.04,https://facebook.com/ads/preview/AD-59219,AD-43807,AD-59219
AG1_Image statique_Promo_V2,AG1 Powder,—,Image statique,Promo,Test goût,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Test créa - AG1 Powder,En pause,28/08/2025,58085,130863,2.25,291,535,12585.84,63638.25,5.06,96.18,43.25,0.22,23.52,20.27,—,118.95,https://facebook.com/ads/preview/AD-72410,AD-52624,AD-72410
AG1_Image statique_Promo_V4,AG1 Powder,—,Image statique,Promo,Comparatif,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Acquisition - AG1 Powder,En ligne,05/08/2025,195664,727508,3.72,1456,590,9560.19,53902.4,5.64,13.14,6.57,0.2,16.2,69.09,—,91.36,https://facebook.com/ads/preview/AD-79632,AD-69372,AD-79632
AG1_Image statique_Promo_V5,AG1 Powder,—,Image statique,Promo,Témoignage,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Scale - AG1 Powder,En ligne,27/08/2025,281444,848521,3.01,3113,175,13956.66,18089.75,1.3,16.45,4.48,0.37,79.75,10.47,—,103.37,https://facebook.com/ads/preview/AD-71349,AD-20480,AD-71349
AG1_Image statique_Science_V1,AG1 Powder,—,Image statique,Science,Une journée avec moi,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Prospection - AG1 Powder,En pause,14/08/2025,7251,19716,2.72,176,243,9043.92,25857.63,2.86,458.71,51.39,0.89,37.22,3.98,—,106.41,https://facebook.com/ads/preview/AD-98037,AD-57636,AD-98037
AG1_Image statique_Voyage_V1,AG1 Powder,—,Image statique,Voyage,Avant/Après,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Prospection - AG1 Powder,En pause,27/08/2025,99059,121036,1.22,999,46,9178.06,4499.72,0.49,75.83,9.19,0.83,199.52,5.11,—,97.82,https://facebook.com/ads/preview/AD-15501,AD-83724,AD-15501
AG1_Motion-Vidéo_Routine-matinale_V5,AG1 Powder,—,Motion/Vidéo,Routine matinale,Avant/Après,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Test créa - AG1 Powder,Archivée,26/08/2025,96857,126134,1.3,515,574,12127.22,52802.26,4.35,96.15,23.55,0.41,21.13,20.39,26.9,91.99,https://facebook.com/ads/preview/AD-14337,AD-79125,AD-14337
AG1_Motion-Vidéo_Science_V1,AG1 Powder,—,Motion/Vidéo,Science,Test goût,Large,Août 2025,AG1 Powder - Août 2025,AG1 - Prospection - AG1 Powder,Arrêtée,03/08/2025,64127,215842,3.37,478,483,11073.83,41842.29,3.78,51.31,23.17,0.22,22.93,29.29,21.1,86.63,https://facebook.com/ads/preview/AD-43036,AD-46418,AD-43036
